Sensor Readings Log
====================
Time: 2024-12-15 01:53:41, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:43, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:46, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:48, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:50, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:55, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:57, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:53:59, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:01, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:04, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:06, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:08, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:10, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:13, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:15, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:17, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:19, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:22, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:24, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:26, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:29, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:31, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:33, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:35, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:38, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:40, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:42, Temperature: 18.8 °C, Humidity: 31 %
Time: 2024-12-15 01:54:44, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:47, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:49, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:51, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:56, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:54:58, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:00, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:02, Temperature: 18.7 °C, Humidity: 31 %
Time: 2024-12-15 01:55:05, Temperature: 18.7 °C, Humidity: 31 %
